algorithm,inputType,n,seed,timeSeconds,sorted
quick,random,1000,101,0.000762333,1
merge,random,1000,101,0.000127971,1
quick,random,1000,102,0.000748397,1
merge,random,1000,102,0.000125937,1
quick,random,1000,103,0.000865707,1
merge,random,1000,103,0.000127500,1
quick,random,1000,104,0.000767893,1
merge,random,1000,104,0.000150783,1
quick,random,1000,105,0.000768785,1
merge,random,1000,105,0.000126378,1
quick,random,2000,101,0.003319369,1
merge,random,2000,101,0.000272462,1
quick,random,2000,102,0.003110587,1
merge,random,2000,102,0.000271230,1
quick,random,2000,103,0.003056775,1
merge,random,2000,103,0.000314481,1
quick,random,2000,104,0.002985161,1
merge,random,2000,104,0.000404891,1
quick,random,2000,105,0.002992676,1
merge,random,2000,105,0.000267734,1
quick,random,5000,101,0.018325124,1
merge,random,5000,101,0.000752184,1
quick,random,5000,102,0.019451131,1
merge,random,5000,102,0.000741894,1
quick,random,5000,103,0.018291521,1
merge,random,5000,103,0.000742866,1
quick,random,5000,104,0.018318151,1
merge,random,5000,104,0.000743388,1
quick,random,5000,105,0.018407589,1
merge,random,5000,105,0.000747344,1
quick,random,10000,101,0.074733752,1
merge,random,10000,101,0.001584237,1
quick,random,10000,102,0.072813643,1
merge,random,10000,102,0.001598084,1
quick,random,10000,103,0.072799797,1
merge,random,10000,103,0.001593685,1
quick,random,10000,104,0.073079983,1
merge,random,10000,104,0.001592202,1
quick,random,10000,105,0.075568651,1
merge,random,10000,105,0.001703401,1
quick,random,20000,101,0.290232750,1
merge,random,20000,101,0.003391155,1
quick,random,20000,102,0.290064745,1
merge,random,20000,102,0.003435658,1
quick,random,20000,103,0.289822219,1
merge,random,20000,103,0.003467638,1
quick,random,20000,104,0.290328090,1
merge,random,20000,104,0.003412895,1
quick,random,20000,105,0.291740034,1
merge,random,20000,105,0.003405200,1
quick,random,50000,101,1.815967569,1
merge,random,50000,101,0.009332111,1
quick,random,50000,102,1.811576235,1
merge,random,50000,102,0.009210533,1
quick,random,50000,103,1.817195116,1
merge,random,50000,103,0.009238555,1
quick,random,50000,104,1.527857529,1
merge,random,50000,104,0.006924045,1
quick,random,50000,105,1.268749240,1
merge,random,50000,105,0.006429495,1
quick,random,100000,101,5.061820054,1
merge,random,100000,101,0.013599322,1
quick,random,100000,102,5.060597685,1
merge,random,100000,102,0.013619339,1
quick,random,100000,103,5.056584442,1
merge,random,100000,103,0.013682729,1
quick,random,100000,104,5.051712345,1
merge,random,100000,104,0.013655277,1
quick,random,100000,105,5.059946041,1
merge,random,100000,105,0.013696294,1
quick,sorted,1000,101,0.000719121,1
merge,sorted,1000,101,0.000054403,1
quick,sorted,1000,102,0.000589478,1
merge,sorted,1000,102,0.000026139,1
quick,sorted,1000,103,0.000652616,1
merge,sorted,1000,103,0.000025909,1
quick,sorted,1000,104,0.000523724,1
merge,sorted,1000,104,0.000037450,1
quick,sorted,1000,105,0.000658207,1
merge,sorted,1000,105,0.000026500,1
quick,sorted,2000,101,0.002388970,1
merge,sorted,2000,101,0.000073408,1
quick,sorted,2000,102,0.002622199,1
merge,sorted,2000,102,0.000051717,1
quick,sorted,2000,103,0.002401203,1
merge,sorted,2000,103,0.000051467,1
quick,sorted,2000,104,0.002622178,1
merge,sorted,2000,104,0.000081273,1
quick,sorted,2000,105,0.002405822,1
merge,sorted,2000,105,0.000055755,1
quick,sorted,5000,101,0.013120672,1
merge,sorted,5000,101,0.000187783,1
quick,sorted,5000,102,0.012667991,1
merge,sorted,5000,102,0.000186861,1
quick,sorted,5000,103,0.014028198,1
merge,sorted,5000,103,0.000164368,1
quick,sorted,5000,104,0.013031173,1
merge,sorted,5000,104,0.000132148,1
quick,sorted,5000,105,0.014014572,1
merge,sorted,5000,105,0.000166493,1
quick,sorted,10000,101,0.051152267,1
merge,sorted,10000,101,0.000424638,1
quick,sorted,10000,102,0.051384183,1
merge,sorted,10000,102,0.000298771,1
quick,sorted,10000,103,0.051110038,1
merge,sorted,10000,103,0.000284324,1
quick,sorted,10000,104,0.051103305,1
merge,sorted,10000,104,0.000348395,1
quick,sorted,10000,105,0.051372862,1
merge,sorted,10000,105,0.000406715,1
quick,sorted,20000,101,0.202895048,1
merge,sorted,20000,101,0.000675751,1
quick,sorted,20000,102,0.209026673,1
merge,sorted,20000,102,0.000620817,1
quick,sorted,20000,103,0.203016957,1
merge,sorted,20000,103,0.000771701,1
quick,sorted,20000,104,0.206892481,1
merge,sorted,20000,104,0.000873702,1
quick,sorted,20000,105,0.203356987,1
merge,sorted,20000,105,0.000600749,1
quick,sorted,50000,101,1.263189120,1
merge,sorted,50000,101,0.001651504,1
quick,sorted,50000,102,1.262906718,1
merge,sorted,50000,102,0.001638630,1
quick,sorted,50000,103,1.262572751,1
merge,sorted,50000,103,0.001608844,1
quick,sorted,50000,104,1.263130750,1
merge,sorted,50000,104,0.001670861,1
quick,sorted,50000,105,1.262816108,1
merge,sorted,50000,105,0.001626056,1
quick,sorted,100000,101,5.053807353,1
merge,sorted,100000,101,0.003352612,1
quick,sorted,100000,102,5.060444207,1
merge,sorted,100000,102,0.003413947,1
quick,sorted,100000,103,5.053390959,1
merge,sorted,100000,103,0.003356098,1
quick,sorted,100000,104,5.057682035,1
merge,sorted,100000,104,0.003362360,1
quick,sorted,100000,105,5.067710014,1
merge,sorted,100000,105,0.003456987,1
quick,reversed,1000,101,0.000733239,1
merge,reversed,1000,101,0.000032671,1
quick,reversed,1000,102,0.000660351,1
merge,reversed,1000,102,0.000025829,1
quick,reversed,1000,103,0.000632459,1
merge,reversed,1000,103,0.000032672,1
quick,reversed,1000,104,0.000757053,1
merge,reversed,1000,104,0.000032340,1
quick,reversed,1000,105,0.000527140,1
merge,reversed,1000,105,0.000026330,1
quick,reversed,2000,101,0.002228579,1
merge,reversed,2000,101,0.000064060,1
quick,reversed,2000,102,0.002152566,1
merge,reversed,2000,102,0.000064040,1
quick,reversed,2000,103,0.002118753,1
merge,reversed,2000,103,0.000064221,1
quick,reversed,2000,104,0.002063659,1
merge,reversed,2000,104,0.000051086,1
quick,reversed,2000,105,0.002052318,1
merge,reversed,2000,105,0.000072907,1
quick,reversed,5000,101,0.012952587,1
merge,reversed,5000,101,0.000130806,1
quick,reversed,5000,102,0.013191856,1
merge,reversed,5000,102,0.000165462,1
quick,reversed,5000,103,0.013731470,1
merge,reversed,5000,103,0.000184878,1
quick,reversed,5000,104,0.012752751,1
merge,reversed,5000,104,0.000183394,1
quick,reversed,5000,105,0.013541253,1
merge,reversed,5000,105,0.000185078,1
quick,reversed,10000,101,0.051603646,1
merge,reversed,10000,101,0.000282981,1
quick,reversed,10000,102,0.051621470,1
merge,reversed,10000,102,0.000271540,1
quick,reversed,10000,103,0.051456048,1
merge,reversed,10000,103,0.000420962,1
quick,reversed,10000,104,0.051357844,1
merge,reversed,10000,104,0.000273114,1
quick,reversed,10000,105,0.051510732,1
merge,reversed,10000,105,0.000292089,1
quick,reversed,20000,101,0.202433520,1
merge,reversed,20000,101,0.000746864,1
quick,reversed,20000,102,0.203126824,1
merge,reversed,20000,102,0.000777722,1
quick,reversed,20000,103,0.203556551,1
merge,reversed,20000,103,0.000675360,1
quick,reversed,20000,104,0.202483444,1
merge,reversed,20000,104,0.000646575,1
quick,reversed,20000,105,0.202832069,1
merge,reversed,20000,105,0.000844267,1
quick,reversed,50000,101,1.264636229,1
merge,reversed,50000,101,0.001718831,1
quick,reversed,50000,102,1.264733282,1
merge,reversed,50000,102,0.001571313,1
quick,reversed,50000,103,1.262924653,1
merge,reversed,50000,103,0.001568278,1
quick,reversed,50000,104,1.264552512,1
merge,reversed,50000,104,0.001758415,1
quick,reversed,50000,105,1.263952354,1
merge,reversed,50000,105,0.001577054,1
quick,reversed,100000,101,5.059921925,1
merge,reversed,100000,101,0.003794973,1
quick,reversed,100000,102,5.057800278,1
merge,reversed,100000,102,0.003866368,1
quick,reversed,100000,103,5.059111933,1
merge,reversed,100000,103,0.003285496,1
quick,reversed,100000,104,5.055264772,1
merge,reversed,100000,104,0.003300554,1
quick,reversed,100000,105,5.064465035,1
merge,reversed,100000,105,0.003291437,1
quick,repeated,1000,101,0.000735141,0
merge,repeated,1000,101,0.000104437,1
quick,repeated,1000,102,0.000514627,0
merge,repeated,1000,102,0.000106891,1
quick,repeated,1000,103,0.000524786,0
merge,repeated,1000,103,0.000107232,1
quick,repeated,1000,104,0.000563228,0
merge,repeated,1000,104,0.000164529,1
quick,repeated,1000,105,0.000593937,0
merge,repeated,1000,105,0.000084269,1
quick,repeated,2000,101,0.002881546,0
merge,repeated,2000,101,0.000246614,1
quick,repeated,2000,102,0.002544904,0
merge,repeated,2000,102,0.000246593,1
quick,repeated,2000,103,0.002476305,0
merge,repeated,2000,103,0.000245792,1
quick,repeated,2000,104,0.002059501,0
merge,repeated,2000,104,0.000215875,1
quick,repeated,2000,105,0.002292659,0
merge,repeated,2000,105,0.000213511,1
quick,repeated,5000,101,0.012741610,0
merge,repeated,5000,101,0.000461688,1
quick,repeated,5000,102,0.012721582,0
merge,repeated,5000,102,0.000677693,1
quick,repeated,5000,103,0.012722333,0
merge,repeated,5000,103,0.000431942,1
quick,repeated,5000,104,0.013389808,0
merge,repeated,5000,104,0.000537871,1
quick,repeated,5000,105,0.013333903,0
merge,repeated,5000,105,0.000450096,1
quick,repeated,10000,101,0.051038484,0
merge,repeated,10000,101,0.000988257,1
quick,repeated,10000,102,0.051560355,0
merge,repeated,10000,102,0.001130895,1
quick,repeated,10000,103,0.051113074,0
merge,repeated,10000,103,0.000887599,1
quick,repeated,10000,104,0.051727158,0
merge,repeated,10000,104,0.001032701,1
quick,repeated,10000,105,0.050818711,0
merge,repeated,10000,105,0.000894412,1
quick,repeated,20000,101,0.203389337,0
merge,repeated,20000,101,0.001817977,1
quick,repeated,20000,102,0.202074946,0
merge,repeated,20000,102,0.001801416,1
quick,repeated,20000,103,0.203074135,0
merge,repeated,20000,103,0.001828366,1
quick,repeated,20000,104,0.202668832,0
merge,repeated,20000,104,0.002244519,1
quick,repeated,20000,105,0.203061821,0
merge,repeated,20000,105,0.001817176,1
quick,repeated,50000,101,1.263216661,0
merge,repeated,50000,101,0.004630704,1
quick,repeated,50000,102,1.263481008,0
merge,repeated,50000,102,0.004677502,1
quick,repeated,50000,103,1.268216439,0
merge,repeated,50000,103,0.004680037,1
quick,repeated,50000,104,1.263580996,0
merge,repeated,50000,104,0.004666121,1
quick,repeated,50000,105,1.262891730,0
merge,repeated,50000,105,0.004709733,1
quick,repeated,100000,101,5.054528879,0
merge,repeated,100000,101,0.009420787,1
quick,repeated,100000,102,5.051799769,0
merge,repeated,100000,102,0.009460402,1
quick,repeated,100000,103,5.053773258,0
merge,repeated,100000,103,0.009427840,1
quick,repeated,100000,104,5.054689300,0
merge,repeated,100000,104,0.009435085,1
quick,repeated,100000,105,5.052607237,0
merge,repeated,100000,105,0.009451796,1
